_id,expert_userId,intitule,localisation,date_debut,date_fin,HT_TTC,replacement_or_creation,presentiel_distanciel,isClosed,forfait_remuneration,status,createdAt,updatedAt,hours_planned,note_communication,note_quality,note_level
64f088c188afda3cddd6f720,62d28ea2c43a1c07852b7659,Serveur WEB,Bordeaux,26/06/2023,26/06/2023,TTC,Créa,,FAUX,hourly,pending,31/08/2023,1693485254984,30,,,
64f0884188afda3cddd6f719,62d28ea2c43a1c07852b7659,Social Engineering,Bordeaux,02/01/2024,30/04/2024,TTC,Créa,,FAUX,hourly,pending,31/08/2023,1693485125889,15,,,
64f073df88afda3cddd6f6df,62d28ea2c43a1c07852b7659,Versionning et Repository,Bordeaux,26/06/2023,26/06/2023,,Créa,,FAUX,,pending,31/08/2023,1693479906129,30,,,
64f073a988afda3cddd6f6de,62d28ea2c43a1c07852b7659,Bases de données - Conception/Administration,Bordeaux,26/06/2023,26/06/2023,,Créa,,FAUX,hourly,pending,31/08/2023,1693479852954,30,,,
64f0731188afda3cddd6f6dd,62d28ea2c43a1c07852b7659,Projet tuteuré,Bordeaux,01/09/2023,31/01/2024,TTC,Créa,,VRAI,hourly,pending,31/08/2023,1693479702336,45,,,
64f067b288afda3cddd6f6be,640eded4ad121b1000e29937,FINANCIAL MANAGEMENT,Lille,08/12/2023,24/05/2024,TTC,RECONDUCTION,,FAUX,hourly,pending,31/08/2023,1701299400687,32,,,
64f0679788afda3cddd6f6bc,640eded4ad121b1000e29937,Web marketing e-commerce,Lille,30/05/2024,14/06/2024,TTC,RECONDUCTION,,FAUX,hourly,pending,31/08/2023,1693476764542,16,,,
64f0544988afda3cddd6f62a,6479b7469604a319f621a0ab,Jury Soutenance WIS 3,Bordeaux,13/09/2023,14/09/2023,TTC,Création,,FAUX,hourly,pending,31/08/2023,1693865400426,8 Heures,,,
64f0542f88afda3cddd6f627,63e9f68579991a5c33ff6de5,Jury Soutenance WIS 3,Bordeaux,13/09/2023,14/09/2023,TTC,Création,,FAUX,hourly,pending,31/08/2023,1693865400425,8 Heures,,,
64ef658688afda3cddd6f49d,63ca9109e4ad45260849a4a7,CAHT : Fondamentaux du secteur de la tech : Réseaux Télécom,Bordeaux,01/12/2023,01/01/2024,TTC,,,FAUX,hourly,pending,30/08/2023,1700694600708,6,,,
64ef64a988afda3cddd6f49c,63ca9109e4ad45260849a4a7,Formateur Bases de Données Avancées Réseau,"Mérignac, France",25/07/2023,31/07/2023,TTC,création,,FAUX,daily,pending,30/08/2023,1693410475923,35,,,
64ef34d188afda3cddd6f3e2,5efc9f90e1feb14ac570d77a,Sécurité des Réseaux,Bordeaux,01/09/2023,03/06/2024,TTC,Création,,FAUX,hourly,pending,30/08/2023,1693398236239,10,,,
64ef0b4488afda3cddd6f3bc,62436c8cc60bd00898a38710,mathématiques BAC+1,Bordeaux,01/09/2023,30/06/2024,TTC,remplacement,,FAUX,hourly,pending,30/08/2023,1695636502223,80,,,
64ef01b388afda3cddd6f372,5eccbe45e1feb14ac570b2ec,Interventions sur l'entrepreneuriat,Bordeaux,10/06/2024,14/06/2024,TTC,RECONDUCTION,,FAUX,hourly,pending,30/08/2023,1693385177751,6,,,
64ef010a88afda3cddd6f36e,5eccbe45e1feb14ac570b2ec,se lancer dans l'entrepreneuriat : speed thinking,Bordeaux,08/04/2024,14/06/2024,TTC,reconduction,,FAUX,hourly,pending,30/08/2023,1693384974248,8,,,
64eeffb388afda3cddd6f36b,62e16f99f5e6794d89e1e704,Intervenant sur l'entrepreneuriat,Bordeaux,20/04/2023,20/04/2023,TTC,Création de poste,,FAUX,hourly,pending,30/08/2023,1693385173630,3,,,
64ee3ba288afda3cddd6f268,630d18de47b68d445cd21c9a,gestion équipes RH,Bordeaux,17/05/2024,03/06/2024,HT,création de poste,,FAUX,hourly,pending,29/08/2023,1693334438716,14,,,
64ee3b6088afda3cddd6f266,630d18de47b68d445cd21c9a,gestion de crise,Bordeaux,20/02/2024,08/03/2024,HT,création de poste,,FAUX,hourly,pending,29/08/2023,1693334372491,14,,,
64ee3b1088afda3cddd6f264,630d18de47b68d445cd21c9a,Entretiens RH,Bordeaux,22/09/2023,14/12/2023,HT,création de poste,,FAUX,hourly,pending,29/08/2023,1694643000345,14,,,
64ee3afc88afda3cddd6f262,630d18de47b68d445cd21c9a,Entretiens RH,Bordeaux,22/09/2023,14/12/2023,HT,création de poste,,FAUX,hourly,pending,29/08/2023,1694643000344,14,,,
64ee3a2b88afda3cddd6f25f,630d18de47b68d445cd21c9a,GESTION DU RISQUE DE CHANGE,Bordeaux,18/09/2023,23/04/2024,HT,reconduction,,FAUX,hourly,pending,29/08/2023,1694297400337,"17,5",,,
64ee39d488afda3cddd6f25c,5cab2f3bd10aab0a4c954e0a,GESTION DU RISQUE DE CHANGE,Bordeaux,18/09/2023,23/04/2024,HT,reconduction,,FAUX,hourly,pending,29/08/2023,1694297400331,"17,5",,,
64ee399588afda3cddd6f25a,5cab2f3bd10aab0a4c954e0a,FINANCE ANGLOSAXONNE,Bordeaux,21/09/2023,22/04/2024,HT,reconduction,,FAUX,hourly,pending,29/08/2023,1694556600301,21,,,
64ee38d388afda3cddd6f256,5cab2f3bd10aab0a4c954e0a,Pilotage du contrôle interne,Bordeaux,16/11/2022,09/12/2022,HT,Création de poste,,FAUX,,pending,29/08/2023,1693333719825,14,,,
64ee387688afda3cddd6f253,5c5853d5ea9407248fdd4363,Stratégie,Bordeaux,22/04/2024,26/04/2024,HT,création,,FAUX,hourly,pending,29/08/2023,1693333627112,21,,,
64ee37dc88afda3cddd6f250,5c5853d5ea9407248fdd4363,Gestion grands comptes,Bordeaux,01/10/2023,31/05/2024,HT,création,,FAUX,hourly,pending,29/08/2023,1695420600399,18,,,
64ee369d88afda3cddd6f24c,634571ce0fd435728656b705,Audit fiscal,Bordeaux,18/07/2023,18/07/2023,HT,création,,FAUX,hourly,pending,29/08/2023,1693333157232,14,,,
64ee35a288afda3cddd6f248,62a26175d57a952ac7f6da01,Management de la communication financière,Bordeaux,06/02/2023,17/04/2023,HT,Création de poste,,FAUX,hourly,pending,29/08/2023,1693333057873,14,,,
64edc6e888afda3cddd6f18f,61e927db41979a0867313fb5,Jury Soutenance WIS 3,Bordeaux,13/09/2023,14/09/2023,TTC,Création,,FAUX,hourly,pending,29/08/2023,1693865400425,8 Heures,,,
64ecd95d364aa0079116ade2,634412bfd66fef54e03bafde,Directeur de mémoire Bachelor _ soutenance,Bordeaux,03/03/2023,27/08/2023,TTC,RECONDUCTION,,VRAI,hourly,terminated,28/08/2023,1693243747672,24,,,
64ecd8c5364aa0079116adde,634412bfd66fef54e03bafde,Directeur de mémoire Bachelor,Bordeaux,03/03/2023,27/08/2023,TTC,RECONDUCTION,,VRAI,hourly,terminated,28/08/2023,1693243599973,24,,,
64ecd86a364aa0079116adda,62553ef6a6a5e0544be60948,Directeur de mémoire Bachelor _ soutenance,Bordeaux,03/03/2023,27/08/2023,TTC,RECONDUCTION,,VRAI,hourly,terminated,28/08/2023,1693243505101,24,,,
64ecd7ea364aa0079116add8,62553ef6a6a5e0544be60948,Directeur de mémoire,Bordeaux,03/07/2024,27/08/2024,TTC,RECONDUCTION,,VRAI,hourly,terminated,28/08/2023,1693243376974,15,,,
64ecd657364aa0079116add2,62553ef6a6a5e0544be60948,Directeur de mémoire - soutenance,Bordeaux,03/07/2024,27/08/2024,TTC,RECONDUCTION,,FAUX,hourly,pending,28/08/2023,1693242972987,15,,,
64ecd566364aa0079116adcf,62553ef6a6a5e0544be60948,Directeur de mémoire,Bordeaux,03/07/2024,27/08/2024,TTC,RECONDUCTION,,FAUX,hourly,pending,28/08/2023,1693242730119,15,,,
64ecd0b2364aa0079116adc4,5de8e65b9209a135389958ce,Méthodologie de mémoire,Bordeaux,05/04/2023,16/04/2023,TTC,Création de poste,,VRAI,hourly,terminated,28/08/2023,1693241552512,12,,,
64eccf46364aa0079116adbc,5de8e65b9209a135389958ce,Méthodologie de mémoire,Bordeaux,01/09/2023,30/06/2024,TTC,Création de poste,,VRAI,hourly,terminated,28/08/2023,1693241173885,"45,5",,,
64ecce37364aa0079116adb7,62553ef6a6a5e0544be60948,Grande distribution : optimisation de la fonction achats,Bordeaux,17/10/2022,15/05/2023,TTC,RECONDUCTION,,VRAI,hourly,terminated,28/08/2023,1693240895126,18,,,
64eccd27364aa0079116adb1,62553ef6a6a5e0544be60948,Grande distribution : optimisation de la fonction achats,Bordeaux,05/10/2023,04/04/2024,TTC,RECONDUCTION,,FAUX,hourly,pending,28/08/2023,1695766200357,18,,,
64eccca2364aa0079116adae,62553ef6a6a5e0544be60948,Grande distribution : optimisation de la fonction achats,Bordeaux,,,TTC,RECONDUCTION,,FAUX,,pending,28/08/2023,1693240485610,18,,,
