_id,type,civility,howWeMet,createdAt,updatedAt,validatedEmail,data
63d38814b4ef3f4d9d68f4e6,company,male,bouche à oreille,27/01/2023,2023-01-27 08:19:24.720,VRAI,company
63d25fe188160d0bd8626451,company,male,autre,26/01/2023,2023-11-21 14:03:36.995,VRAI,company
63cfeb213d805d489fa38c98,company,female,bouche à oreille,24/01/2023,2023-01-24 14:39:31.412,VRAI,company
63c973d2e4ad45260849a319,company,male,autre,19/01/2023,2023-03-06 14:25:05.661,VRAI,company
63c9031ee4ad45260849a238,company,female,autre,19/01/2023,2023-11-10 10:32:46.181,VRAI,company
63bbd53be4ad452608499149,company,female,bouche à oreille,09/01/2023,2023-01-09 08:56:36.383,VRAI,company
63b3f008783ece5a0866a0c1,company,male,autre,03/01/2023,2023-09-27 12:04:25.872,VRAI,company
63a176bd783ece5a08668b1c,company,male,parrainage,20/11/2022,2023-11-28 14:40:05.361,VRAI,company
639a003067f15f7b71c87180,company,female,entreprise partenaire,14/11/2022,2022-12-14 17:00:49.400,VRAI,company
63989c073ef4140b25984a27,company,female,bouche à oreille,13/11/2022,2023-01-06 15:49:49.489,VRAI,company
639895353ef4140b25984a1e,company,female,bouche à oreille,13/11/2022,2022-12-13 15:11:39.196,VRAI,company
63974a5dc2ac7675f05052d8,company,male,autre,12/11/2022,2023-01-24 14:40:14.877,VRAI,company
639346a8c2ac7675f0504ca0,company,male,autre,09/11/2022,2022-12-09 14:41:46.254,VRAI,company
63934121c2ac7675f0504c8b,company,female,autre,09/11/2022,2023-03-10 09:34:41.564,VRAI,company
63906ca366eff2145f4f2e83,company,male,bouche à oreille,07/11/2022,2023-09-19 10:30:35.632,VRAI,company
638e46c966eff2145f4f2a89,company,female,bouche à oreille,05/11/2022,2022-12-05 19:32:42.357,VRAI,company
6389fe3b0f14570b3a246b55,company,male,bouche à oreille,02/11/2022,2022-12-02 13:51:35.348,VRAI,company
6389c299d10d072727c11bad,company,male,bouche à oreille,02/11/2022,2023-10-11 11:00:12.105,VRAI,company
6389258fd10d072727c11b01,company,male,autre,01/11/2022,2022-12-01 22:07:11.362,VRAI,company
63885658d10d072727c11927,company,female,bouche à oreille,01/11/2022,2022-12-01 07:24:41.190,VRAI,company
6387c85dd10d072727c11840,company,female,entreprise partenaire,30/10/2022,2023-07-28 09:49:34.047,VRAI,company
6384e08be6157d5bdc427224,company,male,bouche à oreille,28/10/2022,2023-01-18 12:45:44.325,VRAI,company
6384acd9e6157d5bdc4271bf,company,female,bouche à oreille,28/10/2022,2023-05-04 08:02:54.348,VRAI,company
63847975983abd240e842af9,company,female,autre,28/10/2022,2022-11-28 09:03:49.024,VRAI,company
6380bf78983abd240e842422,company,male,bouche à oreille,25/10/2022,2023-02-15 22:29:25.252,VRAI,company
637d0b6e5611a441750a5a6d,company,male,bouche à oreille,22/10/2022,2022-11-28 16:49:49.401,VRAI,company
637c819a5611a441750a596a,company,female,bouche à oreille,22/10/2022,2022-11-22 08:06:18.769,VRAI,company
637b7b6f5611a441750a5867,company,male,bouche à oreille,21/10/2022,2023-08-11 13:40:51.055,VRAI,company
637a32775611a441750a56e3,company,female,recherche web,20/10/2022,2022-11-20 13:58:15.242,VRAI,company
636e0ee6231df95a4ccc0512,company,male,recherche web,11/10/2022,2022-11-11 09:00:21.086,VRAI,company
636d0a1f231df95a4ccc042b,company,male,bouche à oreille,10/10/2022,2022-11-18 13:00:33.739,VRAI,company
636d0552231df95a4ccc0405,company,male,bouche à oreille,10/10/2022,2023-09-12 08:13:54.236,VRAI,company
636d04f6231df95a4ccc0402,company,female,bouche à oreille,10/10/2022,2022-11-10 14:13:52.847,VRAI,company
636b8829231df95a4ccc01f5,company,female,autre,09/10/2022,2023-09-18 12:41:21.188,VRAI,company
636b87af231df95a4ccc01f1,company,female,autre,09/10/2022,2023-05-16 13:27:07.318,VRAI,company
6356d57c0fd435728656c8c6,company,male,autre,24/010/2022,2022-10-24 18:12:12.865,VRAI,company
63568c420fd435728656c85c,company,female,bouche à oreille,24/010/2022,2022-10-24 13:03:42.205,VRAI,company
635647920fd435728656c7bd,company,male,bouche à oreille,24/010/2022,2022-10-24 08:07:45.782,VRAI,company
634fe4e80fd435728656c216,company,male,recherche web,19/010/2022,2022-10-19 11:52:08.007,VRAI,company
6347ccab0fd435728656b9ca,company,female,autre,13/010/2022,2022-10-13 08:30:35.393,VRAI,company
633ff4d1bcc18741abdf004e,company,female,bouche à oreille,07/010/2022,2023-02-28 14:16:56.171,VRAI,company
63359555a473c11f43214084,company,female,bouche à oreille,29/09/2022,2023-01-05 09:04:05.388,VRAI,company
6329698522d1f03a8a691b23,company,female,bouche à oreille,20/09/2022,2023-07-24 14:12:25.389,VRAI,company
632350bd3acb9b4d5764ebe7,company,male,autre,15/09/2022,2023-05-16 21:16:31.069,VRAI,company
6322f65d3acb9b4d5764eb84,company,female,autre,15/09/2022,2022-09-15 09:54:37.389,VRAI,company
6321aead3acb9b4d5764ea02,company,male,bouche à oreille,14/09/2022,2022-09-14 10:37:48.268,VRAI,company
631f413054f3b47232b1fe85,company,male,entreprise partenaire,12/09/2022,2022-09-14 06:06:32.551,VRAI,company
6317295d6977227acbbbebc3,company,female,autre,06/09/2022,2022-09-07 14:53:35.928,VRAI,company
630e26801acadb22d66bd5b6,company,female,bouche à oreille,30/08/2022,2022-08-30 15:07:43.820,VRAI,company
630cc7d347b68d445cd21c56,company,female,recherche web,29/08/2022,2022-08-29 14:06:11.071,VRAI,company
630880b847b68d445cd21782,company,female,autre,26/08/2022,2023-01-03 13:30:10.019,VRAI,company
6306238247b68d445cd2154b,company,female,bouche à oreille,24/08/2022,2023-01-02 09:38:17.906,VRAI,company
62fba39347b68d445cd20c58,company,female,bouche à oreille,16/08/2022,2023-01-09 15:38:29.221,VRAI,company
62e12ef0f5e6794d89e1e6a8,company,female,association partenaire,27/07/2022,2023-03-27 15:05:38.830,VRAI,company
62dfe255f5e6794d89e1e50b,company,female,,26/07/2022,2023-10-24 06:39:28.464,VRAI,company
62d9b481f5e6794d89e1de21,company,female,entreprise partenaire,21/07/2022,2022-07-21 20:20:53.357,VRAI,company
62d9662ff5e6794d89e1ddd9,company,male,entreprise partenaire,21/07/2022,2023-12-04 15:42:17.937,VRAI,company
62d94e30f5e6794d89e1dd7d,company,female,bouche à oreille,21/07/2022,2022-07-27 14:22:47.625,VRAI,company
62d659d7f5e6794d89e1da47,company,female,autre,19/07/2022,2022-11-03 08:41:39.872,VRAI,company
62cd9e0ec43a1c07852b7266,company,female,bouche à oreille,12/07/2022,2022-08-23 15:38:07.739,VRAI,company
62cc4f32c43a1c07852b6f98,company,male,publicité,11/07/2022,2022-10-19 10:24:54.085,VRAI,company
62cc0bf3c43a1c07852b6f1c,company,male,publicité,11/07/2022,2022-07-11 11:44:50.228,VRAI,company
62c57bc103f9d052cb4400f3,company,female,bouche à oreille,06/07/2022,2023-04-27 15:34:57.912,VRAI,company
62c451e903f9d052cb43fff0,company,male,autre,05/07/2022,2023-12-01 09:36:13.804,VRAI,company
62c2b63d03f9d052cb43fe18,company,female,association partenaire,04/07/2022,2022-07-04 09:43:25.414,VRAI,company
62bf021ab92b4e1a8ec37107,company,male,publicité,01/07/2022,2022-07-01 14:19:32.307,VRAI,company
62bd8c96b92b4e1a8ec36eef,company,female,bouche à oreille,30/06/2022,2023-10-09 14:03:32.360,VRAI,company
62bd759db92b4e1a8ec36ee3,company,male,bouche à oreille,30/06/2022,2022-06-30 11:56:54.545,VRAI,company
62bc6969b92b4e1a8ec36e14,company,female,bouche à oreille,29/06/2022,2023-07-17 13:03:28.469,VRAI,company
62b0729994bf604e68e19fc3,company,female,bouche à oreille,20/06/2022,2023-03-13 11:12:14.345,VRAI,company
62a848fa0eef6a518ff0cc6a,company,female,bouche à oreille,14/06/2022,2022-07-20 14:21:36.485,VRAI,company
62a095b9d57a952ac7f6d6b3,company,female,recherche web,08/06/2022,2022-06-08 12:29:06.167,VRAI,company
62988275d57a952ac7f6cf0c,company,female,association partenaire,02/06/2022,2022-10-10 20:15:05.685,VRAI,company
6295f8541fbb047964271f0f,company,male,autre,31/05/2022,2022-06-01 11:39:26.714,VRAI,company
6295dca21fbb047964271eea,company,female,autre,31/05/2022,2023-11-29 09:55:21.430,VRAI,company
628f9a221fbb0479642719e9,company,male,recherche web,26/05/2022,2022-05-26 15:17:54.366,VRAI,company
628ce28c1fbb047964271842,company,female,autre,24/05/2022,2022-05-24 13:50:04.739,VRAI,company
628cd33a8cd3654f4645a0a4,company,male,bouche à oreille,24/05/2022,2022-05-24 13:20:01.803,VRAI,company
627a21fc8b607267583f722c,company,female,autre,10/05/2022,2022-07-11 09:47:47.692,VRAI,company
6272719692c2ec2a7d267b16,company,female,publicité,04/05/2022,2022-05-24 12:40:21.956,VRAI,company
6271778692c2ec2a7d267a64,company,male,autre,03/05/2022,2023-11-25 15:22:35.008,VRAI,company
626bf65e92c2ec2a7d2676cd,company,male,bouche à oreille,29/04/2022,2022-07-11 15:30:02.376,VRAI,company
626808c6e78e047aff451415,company,female,bouche à oreille,26/04/2022,2022-05-24 12:40:21.926,VRAI,company
625938bca6a5e0544be60ca2,company,female,autre,15/04/2022,2023-11-06 07:13:45.811,VRAI,company
624ffc81b8f602159939792c,company,male,bouche à oreille,08/04/2022,2023-06-20 12:42:10.051,VRAI,company
624af22e35e1f40873f821cc,company,male,autre,04/04/2022,2022-05-24 12:40:21.787,VRAI,company
6241e702c60bd00898a3845d,company,female,autre,28/03/2022,2022-05-24 12:40:21.739,VRAI,company
623d87ff8135b2295c14001b,company,male,,25/03/2022,2023-03-07 16:05:47.046,VRAI,company
62388f4895809f08f186715d,company,female,autre,21/03/2022,2022-05-24 12:40:21.696,VRAI,company
6234a5469bdf0c49877f89b5,company,male,bouche à oreille,18/03/2022,2022-05-24 12:40:21.677,VRAI,company
62335c6e9bdf0c49877f88d5,company,female,autre,17/03/2022,2022-05-24 12:40:21.659,VRAI,company
6230a7789bdf0c49877f8654,company,female,autre,15/03/2022,2023-10-25 13:27:22.678,VRAI,company
6220e880240f4e2730b14c6e,company,male,bouche à oreille,03/03/2022,2022-05-24 12:40:21.578,VRAI,company
621f7919240f4e2730b14b7e,company,male,autre,02/03/2022,2022-05-24 12:40:21.572,VRAI,company
620e4f9e40cc3e4bf30441c0,company,female,autre,17/02/2022,2022-05-24 12:40:21.514,VRAI,company
61fa88f795e32c4827f99ec4,company,female,autre,02/02/2022,2022-05-24 12:40:21.473,,company
61fa87c095e32c4827f99ebc,company,female,entreprise partenaire,02/02/2022,2022-05-24 12:40:21.465,VRAI,company
61fa87be95e32c4827f99eba,company,female,publicité,02/02/2022,2022-05-24 12:40:21.461,VRAI,company
61f9723995e32c4827f99e30,company,male,autre,01/02/2022,2022-05-24 12:40:21.458,VRAI,company
61f7f94d95e32c4827f99d2c,company,female,autre,31/01/2022,2023-07-17 07:14:01.819,VRAI,company
61f40a2395e32c4827f99a85,company,female,,28/01/2022,2022-05-24 12:40:21.423,VRAI,company
61ea690641979a0867314035,company,female,bouche à oreille,21/01/2022,2022-08-18 06:04:46.577,VRAI,company
61e6cb8441979a0867313d90,company,female,bouche à oreille,18/01/2022,2023-08-23 15:25:57.928,VRAI,company
61dff339f18aaa130b6cd03a,company,male,association partenaire,13/01/2022,2022-05-24 12:40:21.291,VRAI,company
61d54c1fca71a24b561b8329,company,male,autre,05/01/2022,2023-11-20 08:51:44.020,VRAI,company
61d34a21ca71a24b561b7d85,company,female,entreprise partenaire,03/01/2022,2022-05-24 12:40:21.248,VRAI,company
61cae1f5ca71a24b561b7850,company,female,entreprise partenaire,28/11/2021,2022-05-24 12:40:21.242,VRAI,company
