_id,civility,howWeMet,mailing,createdAt,updatedAt,validatedEmail,data
61e7ea6f41979a0867313e36,male,recherche web,True,19/01/2022,2022-05-24 12:40:21.320,True,user
61e7e00c41979a0867313e21,male,recherche web,True,19/01/2022,2022-05-24 12:40:21.317,True,user
61e6d79c41979a0867313db9,male,autre,False,18/01/2022,2022-05-24 12:40:21.311,True,user
61e6cb8441979a0867313d90,female,bouche à oreille,False,18/01/2022,2023-08-23 15:25:57.928,True,user
61e6acd141979a0867313d71,male,recherche web,True,18/01/2022,2022-05-24 12:40:21.308,True,user
61e68caa41979a0867313d4e,female,autre,True,18/01/2022,2023-05-03 09:48:06.627,True,user
61e59fd941979a0867313ceb,male,autre,False,17/01/2022,2022-05-24 12:40:21.304,True,user
61e595e841979a0867313cdd,female,autre,True,17/01/2022,2023-12-04 09:01:33.323,True,user
61e414cc38c17b3fae8cb5c3,male,autre,False,16/01/2022,2022-05-24 12:40:21.300,True,user
61e2987338c17b3fae8cb55d,male,bouche à oreille,True,15/01/2022,2022-05-24 12:40:21.298,True,user
61e272d538c17b3fae8cb553,male,recherche web,True,15/01/2022,2023-10-19 19:34:41.295,True,user
