_id,type,companyOrSchool,civility,howWeMet,createdAt,updatedAt,validatedEmail,company.type,company.address,company.tvaNumber,lastConnection,,"La colonne ""companyOrSchool"" est une précision du type de client. La collection profile contient les profils de type ""expert"" et ""company"".
Dans les profils de type ""company"" nous faisons la distinctions entre les entreprises (company) et les écoles (school). "
63a176bd783ece5a08668b1c,company,school,male,parrainage,20/11/2022,1701182405361,VRAI,ASSO,"6 Boulevard Papin, Lille, France",20,1701182405358,,
639a003067f15f7b71c87180,company,school,female,entreprise partenaire,14/11/2022,1671037249400,VRAI,SARL,"1 Quai Armand Lalande, Bordeaux, France",0,,,
63989c073ef4140b25984a27,company,school,female,bouche à oreille,13/11/2022,1673020189489,VRAI,ASSO,"437 Avenue des Apothicaires, 34090 Montpellier, France",0,1673020189486,,
639895353ef4140b25984a1e,company,school,female,bouche à oreille,13/11/2022,1670944299196,VRAI,,,0,,,
63974a5dc2ac7675f05052d8,company,company,male,autre,12/11/2022,1674571214877,VRAI,SAS,"9 Rue de Condé, Bordeaux, France",20,1674571214875,,
639346a8c2ac7675f0504ca0,company,school,male,autre,09/11/2022,1670596906254,VRAI,SAS,"16 Rue de la Rainière, Nantes, France",0,,,
63934121c2ac7675f0504c8b,company,company,female,autre,09/11/2022,1678440881564,VRAI,SAS,"26 Boulevard du Maréchal Juin, 31400 Toulouse, France",0,1678440881562,,
63906ca366eff2145f4f2e83,company,school,male,bouche à oreille,07/11/2022,1695119435632,VRAI,SAS,"12 Rue Planchat, Paris, France",0,1695119435630,,
638e46c966eff2145f4f2a89,company,school,female,bouche à oreille,05/11/2022,1670268762357,VRAI,SAS,"18 Avenue Raymond Badiou, Toulouse, France",0,,,
6389fe3b0f14570b3a246b55,company,company,male,bouche à oreille,02/11/2022,1669989095348,VRAI,SAS,"1 Rue des Montgolfières, Vertou, France",20,1669988787972,,
6389c299d10d072727c11bad,company,company,male,bouche à oreille,02/11/2022,1697022012105,VRAI,SAS,"Promenade des Forges, Bordeaux, France",20,1697022012103,,
6389258fd10d072727c11b01,company,company,male,autre,01/11/2022,1669932431362,VRAI,SAS,49 Cours Pasteur 33000 BORDEAUX,,,,
63885658d10d072727c11927,company,school,female,bouche à oreille,01/11/2022,1669879481190,VRAI,,"101 Quai des Chartrons, Bordeaux, France",0,,,
6387c85dd10d072727c11840,company,school,female,entreprise partenaire,30/10/2022,1690537774047,VRAI,SARL,"Hangar G2, Quai Armand Lalande, Bordeaux, France",0,1690537766352,,
6384e08be6157d5bdc427224,company,school,male,bouche à oreille,28/10/2022,1674045944325,VRAI,ASSO,"21, rue du Bignon 35135 Chantepie",,1674045944323,,
6384acd9e6157d5bdc4271bf,company,company,female,bouche à oreille,28/10/2022,1683187374348,VRAI,SAS,"85 Boulevard Marie et Alexandre Oyon, Le Mans, France",0,1683187374346,,
63847975983abd240e842af9,company,school,female,autre,28/10/2022,1669626229024,VRAI,ASSO,230 RUE ROLAND GARROS - 29490 GUIPAVAS,,,,
6380bf78983abd240e842422,company,school,male,bouche à oreille,25/10/2022,1676500165252,VRAI,ASSO,"12 Rue de Saintonge, Bordeaux, France",0,1676500165250,,
637d0b6e5611a441750a5a6d,company,company,male,bouche à oreille,22/10/2022,1669654189401,VRAI,SAS,"1 Rue Dumaine, Bordeaux, France",20,1669654189399,,
